"Region","DOF","Tau2","Tau2SE","I2","H2","Qdf","Q","Qp","estimate","se","zval","pval","ci.lb","ci.ub"
"Asy_L_SurfArea_asy.csv","94","0.0665541003342","0.0121004867452427","91.9141185485617","12.3672354833019","94","966.948991681114","2.01142258642239e-145","-0.336959539024719","0.0298169576783424","-11.3009362879926","1.29826371803207e-29","-0.395399702202825","-0.278519375846613"
"Asy_L_Thickness_asy.csv","95","0.106926369685327","0.0179974076189646","95.0471458923395","20.1903786839454","95","1380.63690461789","1.21370419334123e-227","0.135747163478393","0.0361491269862763","3.75519894380654","0.000173203843952742","0.0648961765127269","0.20659815044406"
"bankssts_asy_thick.csv","95","0.0670320859577466","0.012273347696369","91.3058631896036","11.5020044175542","95","1296.63669521846","1.18173241508216e-210","-0.427377720054593","0.0299744903203101","-14.2580479430208","3.99472953655589e-46","-0.486126641537345","-0.36862879857184"
"caudalanteriorcingulate_asy_thick.csv","95","0.0871913799916588","0.0151271075319911","93.5637913226407","15.5370972280267","95","1609.33565450329","3.02363140798256e-274","0.331559105333721","0.0331767319313764","9.99372409613841","1.62364613987854e-23","0.266533905623484","0.396584305043959"
"caudalmiddlefrontal_asy_thick.csv","95","0.0964611328591766","0.016443842480787","94.4825916656937","18.1244515433481","95","1480.62363189535","5.84773787029605e-248","0.110688027462676","0.0345743467402711","3.20144956878536","0.00136738008441565","0.0429235530627453","0.178452501862608"
"_cuneus_asy_thick.csv","95","0.0347246570635356","0.0070306152152805","86.1146018976779","7.2018100786953","95","630.835825160009","1.95943443193523e-80","-0.188131260547828","0.0228507216323668","-8.23305554960465","1.82497514985217e-16","-0.232917851968018","-0.143344669127639"
"entorhinal_asy_thick.csv","93","0.0337242147227957","0.00712727126624023","84.6129737572217","6.49898157201971","93","504.422223957311","3.56931748199351e-58","-0.409098187260067","0.0231819591760414","-17.6472654512683","1.06803937996788e-69","-0.454533992336186","-0.363662382183948"
"fusiform_asy_thick.csv","95","0.0985998658149908","0.0167574260931581","94.5731030270054","18.4267364015977","95","1709.17528983186","1.0035404929434e-294","-0.0923616207655205","0.0348912712229245","-2.64712684658037","0.0081178896499344","-0.160747255737271","-0.0239759857937697"
"inferiorparietal_asy_thick.csv","95","0.194358646161824","0.0310693080144668","97.0165298620734","33.5180160608194","95","2742.31263824791","0","-0.177108081570545","0.0474208489886381","-3.73481465110377","0.000187853488917532","-0.270051237704588","-0.0841649254365017"
"inferiortemporal_asy_thick.csv","95","0.114110637670602","0.019103628431456","95.2065576355247","20.8618342302623","95","1716.62611752837","2.95393105861473e-296","-0.109490058765413","0.0372304619329905","-2.94087295941907","0.00327288733901215","-0.182460423281863","-0.0365196942489618"
"isthmuscingulate_asy_thick.csv","95","0.0253915117243954","0.00555925725756835","81.8705039699722","5.51587312931206","95","495.77122292044","6.73441204670561e-56","0.280101352638566","0.0204551490537408","13.6934398230328","1.11121592821558e-42","0.240009997194836","0.320192708082297"
"lateraloccipital_asy_thick.csv","95","0.204343674033218","0.0327462137196243","96.8113017807035","31.3607601355464","95","2668.19707940202","0","-0.545807861112291","0.0486845338988539","-11.2111140315372","3.59638094791092e-29","-0.641227794158164","-0.450387928066418"
"lateralorbitofrontal_asy_thick.csv","95","0.153144544448128","0.0249817724623639","96.3772514342837","27.6033509325886","95","1824.77976971341","1.60058988823668e-318","0.297299887185222","0.0425411231281723","6.98852934111508","2.77782587746676e-12","0.21392081799212","0.380678956378323"
"lingual_asy_thick.csv","95","0.056777187025658","0.0105760358150695","90.4295523146991","10.4488319970223","95","733.822515338502","8.70336038138358e-100","-0.398261863665829","0.027858595940407","-14.2958340225674","2.32305922963199e-46","-0.45286370836888","-0.343660018962778"
"medialorbitofrontal_asy_thick.csv","95","0.176080335293974","0.0283061300815573","96.8205235665953","31.4517192042583","95","2217.82894756693","0","0.0280399035457099","0.0452691062868124","0.619404840202872","0.535649693335554","-0.0606859143887582","0.116765721480178"
"middletemporal_asy_thick.csv","95","0.187728311765535","0.0301411502186353","96.8586807467587","31.833758984165","95","2691.02756397118","0","-0.0994594911075136","0.0467125651688674","-2.12918067650458","0.033239314995827","-0.191014436463974","-0.0079045457510533"
"parahippocampal_asy_thick.csv","95","0.0199147237971177","0.00462182902599547","78.5582352463544","4.66379522156626","95","390.07424398642","1.04044465780113e-37","0.119871121102048","0.0187749925596286","6.38461617075704","1.71827899562132e-10","0.0830728118751684","0.156669430328927"
"paracentral_asy_thick.csv","95","0.0494972138582778","0.00934168679815044","89.9587325387883","9.95890213922587","95","756.002553311151","5.20505716900396e-104","-0.170915445138236","0.0262099255257332","-6.52101986976","6.98309325196781e-11","-0.22228595520615","-0.119544935070322"
"parsopercularis_asy_thick.csv","95","0.0701708304143988","0.0124763703160063","92.7146528266023","13.7261818304483","95","1131.85906916028","1.39049396207369e-177","-0.0209735131944335","0.0301754659859921","-0.69505184125971","0.487022813764568","-0.0801163397436914","0.0381693133548243"
"parsorbitalis_asy_thick.csv","93","0.070968661456682","0.0127065354075454","92.8908391967849","14.0663578681151","93","1096.9957152278","1.02936144918657e-171","0.139118732264397","0.0306005989323552","4.54627481546778","5.46037310540566e-06","0.0791426604516257","0.199094804077168"
"parstriangularis_asy_thick.csv","95","0.0898943986555525","0.0154381887706207","94.2103506448166","17.2722031793638","95","1224.91087938627","3.25601196282761e-196","0.0126339810560725","0.0335093724773097","0.37702827961423","0.70615258899817","-0.0530431821439922","0.0783111442561372"
