"Region","DOF","Tau2","Tau2SE","I2","H2","Qdf","Q","Qp","estimate","se","zval","pval","ci.lb","ci.ub"
"Asy_L_SurfArea_asy.csv","94","0.0643789246668729","0.0117795367499896","91.6047151913749","11.9114481854459","94","922.926602066818","8.79495938124256e-137","-0.328836775526673","0.0294267905066733","-11.1747414469852","5.42080021006365e-29","-0.386512225100357","-0.271161325952988"
"Asy_L_Thickness_asy.csv","95","0.108824442112485","0.0182898604312652","95.0781731632416","20.3176591368789","95","1394.00092358994","2.36756374700906e-230","0.13008722383127","0.0364377761757828","3.570119735181","0.000356818092058533","0.0586704948500043","0.201503952812536"
"bankssts_asy_thick.csv","95","0.0671125529386731","0.0122992065288102","91.2207373708683","11.3904782467921","95","1296.76911138236","1.11122506202744e-210","-0.426928279608799","0.0300038479588025","-14.2291175516888","6.04396268752341e-46","-0.485734741005668","-0.368121818211931"
"caudalanteriorcingulate_asy_thick.csv","95","0.0847549025713848","0.0147721316966396","93.3462582298684","15.0291375070935","95","1573.40119034061","6.80878175716039e-267","0.322801239096817","0.0327903014196139","9.84441207069018","7.24616411997539e-23","0.258533429272161","0.387069048921473"
"caudalmiddlefrontal_asy_thick.csv","95","0.0964050276421524","0.0164467276733108","94.4208145387086","17.9237633690086","95","1480.62036180988","5.8567128033894e-248","0.108254144841428","0.034576533903579","3.13085589039401","0.00174297667516725","0.0404853836801855","0.176022906002671"
"_cuneus_asy_thick.csv","95","0.0336535943143926","0.00687551906573166","85.6154587356781","6.9519074791791","95","615.047793006013","1.64439084480295e-77","-0.186147520422557","0.0226073056963377","-8.23395423244588","1.81132915733276e-16","-0.230457025374866","-0.141838015470248"
"entorhinal_asy_thick.csv","93","0.0349103002070161","0.0073369296118155","84.9052341518774","6.62481293225474","93","510.34793732704","3.11170518989361e-59","-0.411154558232724","0.0235004345821338","-17.495615104297","1.54732876527486e-68","-0.457214563634745","-0.365094552830702"
"fusiform_asy_thick.csv","95","0.0957669451824503","0.0163460678792542","94.3739115073165","17.7743382689495","95","1654.30056101793","1.84641082844906e-283","-0.085527922807193","0.0344649072704184","-2.48159445595267","0.013079603985041","-0.153077899787726","-0.0179779458266603"
"inferiorparietal_asy_thick.csv","95","0.195288638289609","0.0312179667428482","96.9924971720254","33.2501765484107","95","2740.60460474503","0","-0.181279890514379","0.0475331378010752","-3.81375812539518","0.000136869428086543","-0.274443128676666","-0.0881166523520923"
"inferiortemporal_asy_thick.csv","95","0.112275701113738","0.0188414088731687","95.0885092325031","20.3604169759977","95","1687.49146703368","2.85340247697753e-290","-0.102692703170424","0.0369760206047382","-2.7772783953194","0.00548162054187534","-0.175164371847322","-0.0302210344935264"
"isthmuscingulate_asy_thick.csv","95","0.0256388376463383","0.00561461531961808","81.8456705387619","5.5083279288014","95","495.295981999184","8.17393767490765e-56","0.27955695801582","0.020548065342573","13.6050257459817","3.73836754126806e-42","0.239283489992402","0.319830426039239"
"lateraloccipital_asy_thick.csv","95","0.204156378648634","0.0327301025794914","96.7681476001178","30.9420071299183","95","2659.37626039354","0","-0.547152888796126","0.0486721925808702","-11.2415911382463","2.54748852881731e-29","-0.642548633303229","-0.451757144289023"
"lateralorbitofrontal_asy_thick.csv","95","0.146779872034695","0.0240510537105381","96.2037103834305","26.3415097635161","95","1704.97038852003","7.3361671709078e-294","0.289976091745286","0.0417465833195573","6.94610357752174","3.75513113023699e-12","0.208154291961353","0.371797891529219"
"lingual_asy_thick.csv","95","0.0562388418795475","0.0105067518539735","90.2595849647847","10.2665029814912","95","729.17239603897","6.65034997637028e-99","-0.395557322273755","0.0277683933732687","-14.2448760703073","4.82403001873487e-46","-0.449982373193902","-0.341132271353607"
"medialorbitofrontal_asy_thick.csv","95","0.175527777295706","0.028234937187057","96.7758748567947","31.0161657995029","95","2216.55405088834","0","0.0244796447485502","0.0452120627634431","0.541440563697164","0.588203954494861","-0.0641343699345628","0.113093659431663"
"middletemporal_asy_thick.csv","95","0.186154982369597","0.029919429343219","96.8002683625111","31.2526209474483","95","2661.75797619831","0","-0.0967964304827111","0.0465410425377367","-2.07980795454305","0.037543151211094","-0.188015197659622","-0.00557766330580048"
"parahippocampal_asy_thick.csv","95","0.0205139752520117","0.00473766461396255","78.8710063879788","4.73283308406633","95","395.244621351215","1.43161175808597e-38","0.117124127887845","0.0189881191943361","6.16828484638866","6.90347011964183e-10","0.0799080981327927","0.154340157642898"
"paracentral_asy_thick.csv","95","0.0497499779417266","0.00939368769891123","89.903663706726","9.90458291951095","95","757.050825660048","3.28393812094335e-104","-0.172102302722078","0.0262790011762338","-6.54904277251313","5.79070460874041e-11","-0.223608198577182","-0.120596406866974"
"parsopercularis_asy_thick.csv","95","0.0701442389710031","0.0124838466052487","92.6371807100999","13.5817539535669","95","1128.7361769578","5.83722640218684e-177","-0.0202113146218293","0.0301832442157366","-0.669620352185063","0.503099836683785","-0.07936938622125","0.0389467569775913"
"parsorbitalis_asy_thick.csv","93","0.0710192086329634","0.0127261523336548","92.8209043840632","13.92933112327","93","1096.70615335753","1.1756995911784e-171","0.13924291411351","0.0306226674267396","4.54705372896169","5.44021137216772e-06","0.0792235888465525","0.199262239380467"
"parstriangularis_asy_thick.csv","95","0.0904425697156993","0.0155311666967329","94.1819102896694","17.187772100255","95","1228.6913920515","5.66516939559333e-197","0.00936563086251922","0.0336078789401399","0.278673666945797","0.780495272974424","-0.0565046014569372","0.0752358631819757"
