"Region","DOF","Tau2","Tau2SE","I2","H2","Qdf","Q","Qp","estimate","se","zval","pval","ci.lb","ci.ub"
"Asy_L_SurfArea_asy.csv","94","0.0647144231767346","0.011787744242611","91.7454781951922","12.1145721538655","94","962.156524565787","1.76285451911583e-144","-0.32946311289072","0.0294346746621933","-11.1930271583362","4.41111862977828e-29","-0.387154015125273","-0.271772210656168"
"Asy_L_Thickness_asy.csv","95","0.108711732962146","0.0182389236000856","95.1449048641453","20.5969187424368","95","1397.28785458059","5.09954677686197e-231","0.131393231748752","0.0363879364943658","3.61090087559916","0.000305135274725405","0.0600741867480646","0.20271227674944"
"bankssts_asy_thick.csv","95","0.0663485620233989","0.0121466380800651","91.2594226784728","11.4408918680588","95","1293.96572805384","4.08682409384749e-210","-0.429590597488582","0.029822356780335","-14.4049848458609","4.81423440147963e-47","-0.488041342712142","-0.371139852265021"
"caudalanteriorcingulate_asy_thick.csv","95","0.0836858432494508","0.0145775084864138","93.3426383500736","15.0209655503852","95","1599.69861110518","2.84024004409743e-272","0.335433013783535","0.0325768732788228","10.2966607910032","7.29497118922361e-25","0.271583515428117","0.399282512138953"
"caudalmiddlefrontal_asy_thick.csv","95","0.0963147390731979","0.0163997949053224","94.496971160785","18.1718110011333","95","1481.75342286502","3.44249328967483e-248","0.110610396042111","0.034528250310963","3.20347527158049","0.00135779700069022","0.0429362689834399","0.178284523100783"
"_cuneus_asy_thick.csv","95","0.0348951654895369","0.00703879016042941","86.2198717379562","7.25682650396232","95","631.349020433338","1.57353895197038e-80","-0.19117943027251","0.0228599253934716","-8.36308198657149","6.1100722527331e-17","-0.235984060732987","-0.146374799812034"
"entorhinal_asy_thick.csv","93","0.0348517678188307","0.00728792770268451","85.0847069699102","6.70452801686579","93","513.349383290971","9.02206961806421e-60","-0.412663077991888","0.0234230549486808","-17.6178162454052","1.798132318719e-69","-0.458571422099205","-0.366754733884571"
"fusiform_asy_thick.csv","95","0.0959007299501421","0.016329111820195","94.4537304591803","18.0301370613193","95","1699.22176198501","1.11270325427444e-292","-0.0965153191609435","0.0344471663584032","-2.80183624268994","0.00508126589881759","-0.164030524592873","-0.0290001137290135"
"inferiorparietal_asy_thick.csv","95","0.194103168566693","0.0310054709260069","97.0250401030578","33.6138984941561","95","2745.0616099517","0","-0.177017834814687","0.0473722540187217","-3.73674080918187","0.000186420910814199","-0.269865746557864","-0.0841699230715098"
"inferiortemporal_asy_thick.csv","95","0.112464584710412","0.0188344292633549","95.1616857295011","20.6683556315759","95","1713.17600853608","1.51160993478773e-295","-0.111869371058759","0.0369695410061096","-3.02598755662863","0.00247822501397356","-0.184328339955711","-0.0394104021618079"
"isthmuscingulate_asy_thick.csv","95","0.0244249963287371","0.00538246031590392","81.3552696742709","5.36344577008997","95","490.491881242354","5.77924557055543e-55","0.28183393417634","0.0201425103286252","13.9919965077946","1.74445096771375e-44","0.242355339374008","0.321312528978671"
"lateraloccipital_asy_thick.csv","95","0.203121322356915","0.0325317639187188","96.8091272027577","31.3393877958483","95","2666.31477526865","0","-0.542431223587125","0.0485254432090559","-11.1782847866065","5.20869379201057e-29","-0.637539344610718","-0.447323102563531"
"lateralorbitofrontal_asy_thick.csv","95","0.150894967901818","0.0246268113010027","96.3396711628722","27.3199497776457","95","1822.1214470704","5.65505067901662e-318","0.302643714085296","0.0422399451037656","7.16486996708517","7.7860422605153e-13","0.219854942972967","0.385432485197626"
"lingual_asy_thick.csv","95","0.0564125011855489","0.010494674768269","90.4130959743132","10.4308961195463","95","734.093359905991","7.73077633488895e-100","-0.39673568799436","0.0277518035128753","-14.2958524410962","2.32244466553647e-46","-0.451128223385628","-0.342343152603093"
"medialorbitofrontal_asy_thick.csv","95","0.175552669663762","0.0282037363468857","96.8253027907552","31.4990669689056","95","2218.00268442694","0","0.029191896874864","0.0451875907589061","0.646015784081397","0.518269133357753","-0.0593741535607269","0.117757947310455"
"middletemporal_asy_thick.csv","95","0.180027102684387","0.0289740601400969","96.7452162472097","30.7240073673926","95","2664.93963824045","0","-0.109803723653934","0.0458043201047932","-2.39723509491506","0.0165193209810627","-0.199578541395672","-0.0200289059121952"
"parahippocampal_asy_thick.csv","95","0.0202557064564977","0.004662247176759","78.915288893874","4.74277306891559","95","394.72618926553","1.74723096480244e-38","0.118322335115183","0.0188427490641117","6.2794624453468","3.39745646267773e-10","0.0813912255797982","0.155253444650568"
"paracentral_asy_thick.csv","95","0.0494419369413108","0.00931181864143832","89.986520968651","9.98653911262329","95","756.632930781052","3.94586223734247e-104","-0.172993153696237","0.0261672782208195","-6.61104881586797","3.81606612124419e-11","-0.224280076582482","-0.121706230809991"
"parsopercularis_asy_thick.csv","95","0.0697663472073141","0.0123929096412291","92.7057180651106","13.7093686386988","95","1131.23836824906","1.84933287029081e-177","-0.022823045511294","0.0300754661057359","-0.758859245308297","0.447936760596925","-0.0817698758967914","0.0361237848742034"
"parsorbitalis_asy_thick.csv","93","0.0699095856051978","0.0125200618495812","92.8219595194262","13.9313786639451","93","1091.59104457722","1.22983001835252e-170","0.134865429034149","0.0303780933973419","4.43956199851402","9.01421447173543e-06","0.0753254600563648","0.194405398011933"
"parstriangularis_asy_thick.csv","95","0.089489974665982","0.0153537286907413","94.2101357234775","17.2715620304768","95","1226.64960844713","1.45684542332471e-196","0.0130797097910408","0.0334182168877462","0.391394604774286","0.695505579670205","-0.05241879173649","0.0785782113185717"
