"Region","DOF","Tau2","Tau2SE","I2","H2","Qdf","Q","Qp","estimate","se","zval","pval","ci.lb","ci.ub"
"Asy_L_SurfArea_asy.csv","59","0.0775122607554747","0.0177986390901989","90.4524534705192","10.4738950149362","59","513.807470349226","2.93389179957329e-74","-0.300952620646024","0.0405394243513338","-7.42370237026127","1.1389093409843e-13","-0.380408432328624","-0.221496808963424"
"Asy_L_Thickness_asy.csv","59","0.140070341463163","0.029627249571636","94.4239892678137","17.9339683517414","59","942.53145911229","5.31786719019736e-160","0.140916331254093","0.0521213799048027","2.70361858246022","0.00685889697221937","0.0387603038161504","0.243072358692036"
"bankssts_asy_thick.csv","59","0.0764828380917306","0.0178394929987927","89.2650793920018","9.31539260062096","59","905.912145594061","1.57308320064924e-152","-0.386305188821","0.0406104673033964","-9.51245367197957","1.8621744384921e-21","-0.465900242130998","-0.306710135511001"
"caudalanteriorcingulate_asy_thick.csv","59","0.0974882330602769","0.0216165401533511","91.8666513803663","12.295058859103","59","1106.23090206709","1.32504352203044e-193","0.300224029829264","0.0445933056010816","6.73249102712813","1.66782676002321e-11","0.212822756899556","0.387625302758972"
"caudalmiddlefrontal_asy_thick.csv","59","0.101301482909613","0.0222761175020905","92.601697841757","13.5166147395835","59","705.354479633394","5.15773675960812e-112","0.0773132633533092","0.0452663774809329","1.70796223722287","0.0876433496386006","-0.0114072062199142","0.166033732926533"
"_cuneus_asy_thick.csv","59","0.036143823207382","0.00958427195272517","81.6917993550274","5.46203321337644","59","388.974855355806","1.61095368191671e-50","-0.172519457835315","0.0300418902716962","-5.74262991692814","9.32173091937031e-09","-0.231400480795344","-0.113638434875286"
"entorhinal_asy_thick.csv","57","0.0404443641681126","0.0108904954492846","80.8901117801768","5.23289298449518","57","341.366605561693","1.51211541268947e-42","-0.432483645935779","0.0322453881564258","-13.412263603023","5.12503178542738e-41","-0.495683445389888","-0.36928384648167"
"fusiform_asy_thick.csv","59","0.114215963355212","0.0247253422885073","93.3177879121403","14.9651041728652","59","848.054443940058","9.11575759670218e-141","-0.0688787766585216","0.0476509522609013","-1.44548583796169","0.148321468105945","-0.162272926918926","0.0245153736018824"
"inferiorparietal_asy_thick.csv","59","0.199694689798066","0.0409885780697038","95.8155345051153","23.897914828607","59","1553.01564004106","1.67035576786871e-286","-0.127438744326663","0.0612626847258088","-2.08020175571861","0.0375070312835871","-0.24751139998548","-0.00736608866784565"
"inferiortemporal_asy_thick.csv","59","0.110301829596662","0.0239605901395801","92.9673091373512","14.2193083633334","59","1069.68301585601","4.47458035907688e-186","-0.101909732006071","0.0469112521420687","-2.17239419867628","0.0298259422223552","-0.193854096674203","-0.0099653673379384"
"isthmuscingulate_asy_thick.csv","59","0.0324270795258391","0.0088498932085986","79.7889937763731","4.94779917899876","59","397.297469439725","4.52671616060329e-52","0.280098615525994","0.0289162246857743","9.68655550887983","3.43932562255403e-22","0.223423856573008","0.336773374478979"
"lateraloccipital_asy_thick.csv","59","0.234032312962074","0.0478354753676949","96.0301348796308","25.1897726920004","59","1598.07638337246","6.1001990357071e-296","-0.521301573660779","0.0661715577986885","-7.87803084894446","3.32580619836429e-15","-0.650995443747119","-0.391607703574439"
"lateralorbitofrontal_asy_thick.csv","59","0.151570407815372","0.0319521647735006","94.7256992217385","18.9598591745389","59","1085.02643740117","3.1032664390932e-189","0.29468803835413","0.0541193872424486","5.4451473560475","5.17625162716714e-08","0.188615988493554","0.400760088214706"
"lingual_asy_thick.csv","59","0.064637143171522","0.0153750527410163","88.3924556335316","8.61508660599027","59","395.789212780455","8.65592256989544e-52","-0.361127103124834","0.0377556826677392","-9.56484104135677","1.12374028964903e-21","-0.435126881365326","-0.287127324884342"
"medialorbitofrontal_asy_thick.csv","59","0.193769494830338","0.0398729231732654","95.7728976449042","23.6568674234846","59","1530.56510752559","8.33768124566258e-282","-0.0958744494177905","0.0604275274623741","-1.58660222325806","0.112602763593685","-0.214310226918849","0.0225613280832678"
"middletemporal_asy_thick.csv","59","0.23227342109475","0.0472018191582951","96.2490724583684","26.6600724461079","59","1780.86859696405","0","-0.0491064132753318","0.0657214806779475","-0.747189697626657","0.454949061999007","-0.177918148414754","0.0797053218640904"
"parahippocampal_asy_thick.csv","59","0.032531449082044","0.00883575014576098","80.5181437878886","5.13298111387521","59","289.698011463378","1.60986255651847e-32","0.100309536835404","0.0289119112633686","3.46948826459967","0.000521450847543544","0.0436432320349839","0.156975841635825"
"paracentral_asy_thick.csv","59","0.0535842398263079","0.0130690805245444","86.953240593703","7.66473856732082","59","420.674361518337","1.86599870065779e-56","-0.192756511200997","0.0348688112122956","-5.52804940860806","3.23810865448172e-08","-0.261098125360823","-0.124414897041171"
"parsopercularis_asy_thick.csv","59","0.0754814611803943","0.017294532034216","90.3524048266525","10.3652773777511","59","652.843903937807","1.50397885403295e-101","-0.0182364403109455","0.0399604127730468","-0.456362661079565","0.648129211375934","-0.0965574101534715","0.0600845295315805"
"parsorbitalis_asy_thick.csv","57","0.0648175103933353","0.0154792013909464","89.1282301748265","9.19813439836176","57","500.733366332049","1.09910764155193e-72","0.203862678951101","0.038165972121361","5.34147743709642","9.21920923908201e-08","0.129058748158273","0.278666609743928"
"parstriangularis_asy_thick.csv","59","0.0957930754633103","0.021197675768946","92.2260405422292","12.8634578741006","59","708.890870226573","1.01197752035906e-112","0.0521612430401917","0.0441677906633285","1.1809792216639","0.237610977744807","-0.0344060359366367","0.13872852201702"
